Smile,Label
c1c(F)cc(Cl)c([C@H](N2[C@@H]3Cc4c(cc(NCc5c(OC)ccnc5Br)cc4)[C@](C)(CC2)[C@@H]3C)CC)c1,0.3321002721786499
C(Nc1cc2c(cc1)C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C)c1ncc(C(OCC)=O)cc1,0.29044631123542786
n1[nH]cc(CNc2ccc3c(c2)[C@]2(C)CCN([C@@H](c4c(Cl)cc(F)cc4)CC)[C@H](C3)[C@H]2C)c1C(OCCOCCOCCOCCOCCOC)=O,0.40041857957839966
[C@@H]12[C@@H](C)[C@@](C)(CCN1[C@H](CC)c1ccc(F)cc1Cl)c1cc(C(=O)N3CCC[C@@H]3C(OC(C)C)=O)ccc1C2,0.23121772706508636
n1ccc(OC)c(C(Nc2cc3c(cc2)C[C@H]2N([C@@H](c4ccc(F)cc4Cl)CC)CC[C@]3(C)[C@@H]2C)=O)c1F,0.28635406494140625
C(OCCOCCOCCOCC)(=O)c1c(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@@H](c2c(Cl)cc(F)cc2)CC)c[nH]n1,0.40801915526390076
Clc1c([C@H](N2[C@H]3[C@@H](C)[C@@](C)(CC2)c2c(ccc(NCc4c(C(=O)OCCOCCOCCOC)n[nH]c4)c2)C3)CC)ccc(F)c1,0.41941899061203003
[C@@H]12[C@@H](C)[C@@](C)(CCN1[C@@H](c1c(Cl)cc(F)cc1)CC)c1c(cc(Br)c(N)c1)C2,0.4058716893196106
c1[nH]nc(C(OC(C)CC)=O)c1CNc1ccc2c(c1)[C@@]1(C)[C@H](C)[C@@H](C2)N([C@H](CC)c2c(Cl)cc(F)cc2)CC1,0.32903045415878296
CCCOC(=O)c1n[nH]cc1CNc1cc2c(cc1)C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1c(Cl)cc(F)cc1)CC,0.3620748817920685
c1(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@H](CC)c2ccc(F)cc2Cl)c(CO)n[nH]c1,0.4397909641265869
N(Cc1n[nH]cc1C(=O)OCC)c1cc2c(cc1)C[C@H]1N([C@H](CC)c3c(Cl)cc(F)cc3)CC[C@]2(C)[C@@H]1C,0.2874837815761566
C(Nc1cc2c(cc1)C[C@H]1N([C@H](CC)c3c(Cl)cc(F)cc3)CC[C@]2(C)[C@@H]1C)c1c[nH]nc1C(=O)OCCOC,0.3640773296356201
O(CCOCCOC)C(c1n[nH]cc1CNc1ccc2c(c1)[C@]1(C)CCN([C@@H](c3c(Cl)cc(F)cc3)CC)[C@H](C2)[C@H]1C)=O,0.3840544521808624
C([C@@H](N1[C@@H]2Cc3c(cc(NCc4c(C(OCCOCC)=O)n[nH]c4)cc3)[C@](C)(CC1)[C@@H]2C)c1c(Cl)cc(F)cc1)C,0.3510585129261017
c1(CNc2ccc3c(c2)[C@]2(C)CCN([C@@H](c4c(Cl)cc(F)cc4)CC)[C@H](C3)[C@H]2C)c[nH]nc1C(N)=O,0.45225790143013
c1cc(F)cc(Cl)c1CN1[C@H]2[C@@H](C)[C@@](C)(CC1)c1c(ccc(NCc3c(C(OCC)=O)n[nH]c3)c1)C2,0.42499956488609314
c1(F)cc(Cl)c(CN2CC[C@@]3(C)c4c(ccc(NCc5c[nH]nc5)c4)C[C@@H]2[C@H]3C)cc1,0.49621349573135376
C(c1c(C(=O)OC(C)C)n[nH]c1)Nc1cc2c(cc1)C[C@H]1N([C@@H](c3ccc(F)cc3Cl)CC)CC[C@]2(C)[C@@H]1C,0.3402365446090698
[nH]1nc(C(=O)OC)c(CNc2ccc3c(c2)[C@@]2(C)[C@H](C)[C@H](N([C@@H](c4ccc(F)cc4Cl)CC)CC2)C3)c1,0.4139608144760132
Clc1c(CN2CC[C@]3(C)[C@H](C)[C@H]2Cc2ccc(N)cc23)ccc(F)c1,0.5197210907936096
C1[C@H]2N(Cc3c(Cl)cc(F)cc3)CC[C@@](C)(c3cc(NCc4c(OC)cc(OC)cc4)ccc31)[C@@H]2C,0.4495773911476135
c1cc(N)cc2c1C[C@@H]1[C@@H](C)[C@@]2(C)CCN1[C@@H](c1ccc(F)cc1Cl)CC,0.5593622326850891
c1c(CNc2cc3c(cc2)C[C@@H]2[C@@H](C)[C@@]3(C)CCN2[C@@H](c2c(Cl)cc(F)cc2)CC)c(C(OCC)=O)n[nH]1,0.391842782497406
C1[C@@]2(C)c3cc(NCc4cn[nH]c4)ccc3C[C@@H](N([C@@H](c3c(Cl)cc(F)cc3)CC)C1)[C@H]2C,0.4937593638896942
c12cc(NCc3cncnc3)ccc1C[C@H]1N([C@H](CC)c3ccc(F)cc3Cl)CC[C@]2(C)[C@@H]1C,0.3887510299682617
